Iterations,VI avg moves,QL avg moves
2740,210.8,391.5
2745,123.4,402.7
2750,248.8,512.7
2755,176.6,380
2760,325.7,410
2765,336.8,271.2
2770,209.7,512.7
2775,295.4,210
2780,237.6,370
2785,249.7,220
2790,211.5,353.9
2795,188.5,351.4
2800,247.3,392.7
2805,191.6,271.4
2810,171.9,461.4
2815,194.9,291.2
2820,246.2,280
2825,176.7,460
2830,204.5,460
2835,146.8,281.4
2840,278.6,521.2
2845,254.6,560
2850,351,590
2855,184.5,392.7
2860,144.3,470
2865,184.1,282.7
2870,169.9,522.7
2875,203.6,380
2880,192.6,352.7
2885,240.5,411.4
2890,234.4,320
2895,333.4,420
2900,297.9,441.2
2905,218.6,344.2
2910,238.8,310
2915,181.4,342.6
2920,176.1,632.7
2925,162.6,421.2
2930,167.4,382.7
2935,215.3,600
2940,185.2,431.5
2945,157,332.7
2950,218.8,432.7
2955,245.9,370
2960,180.1,301.5
2965,124.7,454.2
2970,245.5,502.6
2975,337.6,452.7
2980,198.7,280
2985,241.5,331.4
2990,201.1,410
2995,146.1,432.7
3000,277,202.7
3005,175,305.3
3010,260.3,291.4
3015,222.8,461.5
3020,175.8,501.2
3025,266.6,390
3030,235,383.9
3035,200.2,172.7
3040,305.6,382.7
3045,331.4,191.4
3050,256.1,342.6
3055,229.8,335.3
3060,228.2,362.7
3065,194.1,422.9
3070,258,354.2
3075,236.4,404.1
3080,268.5,550
3085,314.5,396.6
3090,180.8,256.9
3095,192.6,451.4
3100,220.4,462.9
3105,202.4,422.6
3110,156.2,401.4
3115,185.2,444.3
3120,199.3,481.2
3125,224,511.4
3130,311,351.2
3135,133.8,282.8
3140,207.4,315.3
3145,170,461.2
3150,122.9,262.7
3155,246.7,352.7
3160,197.2,222.4
3165,225.6,304.1
3170,247.8,354
3175,243.9,262.7
3180,187.4,291.5
3185,133.3,262.6
3190,169.9,305.3
3195,304,372.7
3200,242.5,571.4
3205,330.1,222.6
3210,170.5,334.2
3215,110.4,255.4
3220,167.8,175.4
3225,208.2,272.6
3230,247.8,372.7
3235,307.3,262.6
3240,137,402.7
3245,282.5,433.8
3250,192.3,223.9
3255,203.1,332.7
3260,246.1,513.8
3265,196,491.2
3270,150.6,362.6
3275,231.6,224
3280,157.6,511.2
3285,147,174
3290,218.8,252.5
3295,187.5,362.5
3300,175.2,292.5
3305,290.8,471.2
3310,261,311.3
3315,204.7,462.6
3320,258.2,395.4
3325,136,331.2
3330,162.3,204
3335,193.6,451.3
3340,124.1,494
3345,205.7,271.3
3350,173.5,414
3355,169.7,430
3360,215.9,302.7
3365,152.3,531.4
3370,188.1,291.2
3375,180.4,272.6
3380,129.8,291.2
3385,218,260
3390,99.5,420
3395,187.6,372.4
3400,218.7,411.2
3405,184.1,312.7
3410,248.8,325.1
3415,167.6,392.7
3420,277,531.4
3425,260.3,375.2
3430,188,283.7
3435,186.5,164.2
3440,180.8,315.5
3445,225.2,244
3450,166.2,252.9
3455,226.4,202.7
3460,145.8,302.5
3465,217.9,342.5
3470,223.5,271.2
3475,217.4,333.9
3480,178.8,300
3485,195.1,282.7
3490,212.7,292.5
3495,172.4,452.7
3500,206.8,343.9
3505,255.4,302.5
3510,161,332.5
3515,158.9,335.2
3520,243.5,351.3
3525,223.6,381.2
3530,233.7,304.1
3535,138.2,542.7
3540,199.8,450
3545,181,221.2
3550,225.8,323.8
3555,176.2,342.6
3560,195.2,381.2
3565,192.4,392.5
3570,203.9,302.5
3575,200.7,245.1
3580,164.2,322.7
3585,189.6,331.2
3590,132.1,332.6
3595,237.1,402.4
3600,208.1,355.3
3605,188.5,243.9
