Iterations,VI avg moves,QL avg moves
2130,12251.9,215.4
2135,10938.2,362.5
2140,10962.7,390
2145,13000,267.9
2150,11003.8,335.8
2155,12462.5,397.9
2160,11316.9,243
2165,12658.9,317.9
2170,11683.4,255.4
2175,12183,443
2180,13000,338
2185,12915.6,275.4
2190,12029.1,245.8
2195,10859.4,202.5
2200,11817.8,122.9
2205,12005.3,440
2210,10910.4,270.4
2215,13000,285
2220,11969.6,328
2225,11652.5,227.9
2230,12844.6,533
2235,11573.2,515.8
2240,11960.9,282.9
2245,12802.2,470
2250,11856.6,227.9
2255,11444.3,315.4
2260,12160.8,155.4
2265,11817.8,250
2270,12672.1,302.5
2275,12513.1,280.8
2280,11544.6,370
2285,12338.2,202.9
2290,12681.3,382.5
2295,11130.1,307.9
2300,11888.3,300
2305,12113.4,352.5
2310,12429.9,425.5
2315,11779,340.4
2320,11900.3,275.4
2325,12298.8,347.9
2330,11501.7,315
2335,11346.7,247.9
2340,12214.3,140.9
2345,11597.1,265
2350,12301.9,402.5
2355,12477.8,240
2360,11995.4,200.9
2365,11082.5,320.5
2370,12804.2,265.4
2375,12100.5,238
2380,12259.6,292.9
2385,12531.3,328
2390,11816.5,178.4
2395,11469.9,507.9
2400,12506.3,267.9
2405,11896.7,370
2410,12001.6,262.5
2415,12999,325.5
2420,11993.7,405.9
2425,13000,147.9
2430,12681.2,475
2435,12530.6,320.5
2440,12840.3,293
2445,13000,572.5
2450,13000,352.9
2455,11676.2,352.5
2460,12219.2,132.5
2465,12685.6,265
2470,12425.2,172.9
2475,11183.2,202.5
2480,12668.2,387.9
2485,12236.6,380
2490,12296.9,402.5
2495,12326.7,390
2500,12718.9,380
2505,12318.3,382.5
2510,11770.2,420
2515,13000,225
2520,12495.4,232.5
2525,11879.5,390
2530,13000,290
2535,11854.7,447.5
2540,12282.7,522.5
2545,12216.3,310
2550,11830.3,225
2555,13000,330
2560,12589.4,440
2565,13000,285
2570,10929.6,432.5
2575,11194.8,212.5
2580,11959.8,367.9
2585,12205.4,265
2590,13000,222.9
2595,11294.7,215.4
2600,11927.7,512.5
2605,12008.4,442.5
2610,11692.8,400
2615,12100.4,320
2620,11454.4,432.5
2625,11082.9,295
2630,12744.2,235
2635,12896,395
2640,13000,302.5
2645,12738.5,312.9
2650,12708.6,270
2655,10923.2,245.4
2660,13000,195.4
2665,12163.7,437.5
2670,12270.7,337.5
2675,12902.8,300
2680,12381.9,260
2685,12801.6,372.5
2690,10952.5,242.5
2695,12082.9,252.5
2700,11072,382.5
2705,13000,197.5
2710,12700.1,192.5
2715,11491.4,192.5
2720,11917.2,270
2725,12627,235.5
2730,12817.5,262.5
2735,12205.8,262.9
2740,11275.6,195.4
2745,11830.5,300
2750,11166.6,215.5
2755,11924.7,265.5
2760,11801.2,255.5
2765,11052,238
2770,11972.1,345
2775,12018.6,222.5
2780,10794.5,392.5
2785,13000,212.5
2790,13000,350
2795,11522.7,515.4
2800,11477,208
2805,12916.5,465.4
2810,11446.2,283
2815,12872.2,322.5
2820,13000,263
2825,11796,255.4
2830,13000,462.9
2835,13000,225
2840,12923,317.5
2845,11654.9,315.4
2850,11748.1,450
2855,11570.7,177.9
2860,12653.6,490
2865,10943.1,280
2870,13000,235
2875,11781.7,490
2880,12303.8,370
2885,11967.2,475
2890,11863.7,502.5
2895,12878.1,265
2900,12226.1,382.5
2905,12464.5,175.4
2910,12748.9,280
2915,12118.3,260
2920,13000,380
2925,11743.9,305
2930,13000,340
2935,12147.6,205
2940,12022.5,320
2945,12714.8,115.4
2950,11937.8,335
2955,12753.2,245.4
2960,13000,162.5
2965,11699.8,275.5
2970,11638.7,387.5
2975,12196.4,355
2980,13000,400
2985,11141.8,235.5
2990,11432.3,402.5
2995,12644.8,475
3000,12696.6,237.9
3005,11750.8,260
3010,11539.8,392.5
3015,12662.5,197.9
3020,12272.8,257.9
3025,12127.2,470
3030,12986.6,490
3035,11819.8,400
3040,12453.1,227.5
3045,11395.8,395
3050,12781.5,430
3055,11386.2,335
3060,11638.9,187.5
3065,12242.9,250
3070,13000,242.5
3075,12862.7,200
3080,13000,227.5
3085,11677.7,392.5
3090,12686.2,337.5
3095,12888.3,445
3100,12178.7,540
3105,11477.6,207.5
3110,13000,327.5
3115,12348.3,280
3120,10902.5,402.5
3125,12972.4,332.5
3130,11497.4,232.5
3135,12041.3,642.5
3140,12197.4,287.5
3145,12539.4,362.5
3150,12466.8,320
3155,11053.1,380
3160,10973.9,340
3165,12439,305
3170,11941.2,307.5
3175,12255.9,445
3180,12310.2,555
3185,13000,410
3190,12869,300
3195,12801.7,212.5
3200,13000,145
3205,10920,285
3210,11166.7,470
3215,11494.9,302.5
3220,12797.5,242.5
3225,13000,302.5
3230,12013.3,292.5
3235,12338.3,320
3240,12450.5,280
3245,12069.6,287.5
3250,13000,500
3255,12377.6,542.5
3260,12321.9,340
3265,12275.9,307.5
3270,11642.5,252.5
3275,12091.2,412.5
3280,12311.3,355
3285,11345.1,305
3290,13000,192.5
3295,11680.4,292.5
3300,11923.4,345
3305,12267.8,320
3310,12705.2,280
3315,12349.7,320
3320,12469.2,355
3325,12458,357.5
3330,11893.6,350
3335,10875.4,360
3340,12640,342.5
3345,11587,287.5
3350,13000,465
3355,12286.3,360
3360,12595.9,290
3365,11721.2,430
3370,13000,287.5
3375,12233.2,460
3380,11125.2,220
3385,11456.5,397.5
3390,12388.9,350
3395,12614,570
3400,12222.5,310
3405,13000,275
3410,13000,370
3415,12457.7,352.5
3420,13000,475
3425,11975.2,475
3430,12269.7,410
3435,10933.6,430
3440,11916.6,277.5
3445,11242.8,157.5
3450,11930.5,210
3455,12739.8,510
3460,12038.5,410
3465,12875.4,372.5
3470,12133.4,427.5
3475,11373.7,195
3480,11996.5,190
3485,12198.7,332.5
3490,12211,235
3495,12178.9,262.5
3500,10804.3,540
3505,13000,622.5
3510,12467.5,262.5
3515,12206.5,402.5
3520,13000,402.5
3525,11665.2,460
3530,11767.2,480
3535,12137.9,320
3540,11805.1,357.5
3545,13000,257.5
3550,13000,410
3555,11788.1,242.5
3560,10904.4,262.5
3565,13000,372.5
3570,11038.2,285
3575,13000,400
3580,12108.8,330
3585,11860.7,157.5
3590,12057.3,300
3595,12213.1,400
3600,12265.3,370
3605,11983.2,192.5
3610,12237.1,380
3615,11893.1,432.5
3620,12346.8,365
3625,11730.5,230
3630,12162.5,270
3635,10961.4,380
3640,11171.6,410
3645,12142.6,360
3650,11764.6,280
3655,12544.7,342.5
3660,11840.7,282.5
3665,12174.7,505
3670,11145.4,430
3675,11935.9,325
3680,11935,460
3685,12593.1,452.5
3690,12244.5,342.5
3695,11985.8,270
3700,12313.7,362.5
3705,12045.9,212.5
3710,13000,360
3715,12021.1,402.5
3720,11155.3,280
3725,12716,342.5
3730,12939.9,312.5
3735,10872.4,592.5
3740,11402.1,320
3745,12273.6,202.5
3750,12129.4,310
3755,11974.5,302.5
3760,12018.6,205
3765,12334.9,305
3770,12126.9,262.5
3775,12426.2,442.5
3780,10925.4,297.5
3785,11535,337.5
3790,12122.3,430
3795,10938.9,242.5
3800,11755.1,360
3805,11633.2,455
3810,11544.9,250
3815,10928.6,195
3820,11999.6,320
3825,11525.4,530
3830,12450.4,505
3835,11439.1,355
3840,12088.3,375
3845,13000,450
3850,11039.1,242.5
3855,12533.8,207.5
3860,12714,300
3865,11521.9,212.5
3870,12309.4,377.5
3875,12258.6,252.5
3880,12781.8,300
3885,10921.3,392.5
3890,12053.8,220
3895,12554.2,230
3900,11866.4,402.5
3905,12766.1,372.5
3910,11862.8,402.5
3915,13000,280
3920,11917.6,392.5
3925,13000,355
3930,12307.1,375
3935,11529.1,222.5
3940,11151.1,257.5
3945,11185.6,480
3950,11887.3,220
3955,12835.3,352.5
3960,10656.9,440
3965,12092.3,427.5
3970,12946.1,405
3975,12572.5,352.5
3980,11885.1,330
3985,13000,242.5
3990,11841.7,480
3995,11203,257.5
4000,11540.4,252.5
4005,11594.8,197.5
4010,11066.1,312.5
4015,11882.8,240
4020,12200.4,292.5
4025,12903.1,500
4030,13000,412.5
4035,12267.2,445
4040,12263.9,322.5
4045,12007.4,187.5
4050,11570.6,330
4055,13000,342.5
4060,13000,275
4065,12096.9,345
4070,11461.2,322.5
4075,12488.3,290
4080,12511.9,300
4085,11613.9,400
4090,11888.8,275
4095,12518.2,530
4100,12734.5,485
4105,12524.4,282.5
4110,12814.4,360
4115,11408.3,465
4120,13000,382.5
4125,12102.7,395
4130,11697.9,520
4135,12105.5,255
4140,13000,287.5
4145,12810.3,350
4150,12996.6,312.5
4155,12992,482.5
4160,11858.6,362.5
4165,12035.8,387.5
4170,11937.5,255
4175,11036.7,302.5
4180,11025.6,302.5
4185,12990.9,312.5
4190,12021.7,375
4195,11977.4,362.5
4200,12440.9,300
4205,12381.8,390
4210,11183.8,312.5
4215,13000,302.5
4220,13000,342.5
4225,11422.5,335
4230,12071.1,335
4235,11654.4,365
4240,12661,300
4245,11750,242.5
4250,12195.1,702.5
4255,11809.5,265
4260,13000,425
4265,13000,280
4270,11975.2,412.5
4275,12311.9,420
4280,11372.5,272.5
4285,13000,640
4290,12014.5,290
4295,12438.8,420
4300,11895.8,480
4305,11896.3,157.5
4310,11832.5,502.5
4315,10770.4,477.5
4320,12085.3,187.5
4325,11788.4,290
4330,11890.9,287.5
4335,11400.8,352.5
4340,12060.2,255
4345,10884.5,260
4350,11308.9,290
4355,11612.3,462.5
4360,11319.7,475
4365,12030.8,167.5
4370,11760,262.5
4375,12584.4,222.5
4380,12721.9,512.5
4385,12829,185
4390,11681.8,497.5
4395,12742.2,335
4400,12305.1,422.5
4405,11210,442.5
4410,11709.3,237.5
4415,11296,230
4420,11891.5,427.5
4425,12304.6,197.5
4430,12532.8,482.5
4435,12077.9,442.5
4440,12354.4,420
4445,12046.3,312.5
4450,11712.2,610
4455,13000,580
4460,11925,320
4465,10946.9,190
4470,12866,535
4475,11937.5,292.5
4480,12483.4,195
4485,11442,360
4490,11941.5,355
4495,12083.8,400
4500,12193.3,230
4505,10736.9,430
4510,12305.9,360
4515,12513.8,430
4520,11933.9,245
4525,12423.9,280
4530,13000,290
4535,12389.6,220
4540,11959.9,235
4545,12881.6,425
4550,12079,252.5
4555,12217.7,362.5
4560,11715.1,262.5
4565,13000,530
4570,12196.7,540
4575,11202.8,400
4580,12385.6,320
4585,13000,252.5
4590,11305.1,502.5
4595,11236,282.5
4600,11826.4,300
4605,12025.1,280
4610,11472.8,360
4615,11530.9,242.5
4620,11382.1,260
4625,11933.4,230
4630,11013.8,330
4635,12176.3,307.5
4640,12604.6,292.5
4645,10648.7,355
4650,11793,252.5
4655,12497.4,222.5
4660,11834.1,610
4665,11866.7,262.5
4670,10934.8,177.5
4675,13000,212.5
4680,11826.8,322.5
4685,13000,470
4690,11333.2,270
4695,12247.2,182.5
4700,11671.4,292.5
4705,12188.5,427.5
4710,13000,312.5
4715,12032.2,500
4720,11665.8,402.5
4725,11520.1,270
4730,11793.5,102.5
4735,12406.3,255
4740,11394.4,410
4745,11921.9,222.5
4750,12209.2,247.5
4755,12018.6,457.5
4760,11563.4,252.5
4765,11110.6,372.5
4770,13000,315
4775,12260.4,240
4780,11909.6,660
4785,12662.4,412.5
4790,11396.7,250
4795,13000,267.5
4800,12195.3,197.5
4805,11455.8,290
4810,12200.6,300
4815,11445.3,362.5
4820,12090.4,190
4825,11998.5,342.5
4830,13000,305
4835,11211.7,315
4840,13000,225
4845,11231.4,290
4850,13000,272.5
4855,12230.2,312.5
4860,12400.9,235
4865,12279.4,250
4870,11652.4,350
4875,11546.5,230
4880,11283.1,420
4885,11290.5,295
4890,12838.8,342.5
4895,13000,290
4900,12220.5,380
4905,12127.7,265
4910,12839.9,277.5
4915,11849.9,222.5
4920,11421.6,275
4925,11215.7,385
