Iterations,VI avg moves,QL avg moves
2465,193.7,182.5
2470,266.7,172.5
2475,321,260
2480,150.2,140
2485,271.4,210
2490,379.1,170
2495,239.4,210
2500,200.6,210
2505,196.7,210
2510,251.6,180
2515,167.4,200
2520,232.9,300
2525,168.4,262.5
2530,249.1,240
2535,248.4,132.5
2540,201.8,100
2545,271.4,180
2550,163.7,142.5
2555,216.7,260
2560,212.8,190
2565,192.1,160
2570,184.8,240
2575,154.4,250
2580,197,150
2585,182.5,190
2590,470.7,170
2595,151,170
2600,212.1,182.5
2605,214.1,170
2610,310.3,182.5
2615,140.8,190
2620,185.9,142.5
2625,237.8,190
2630,196.2,182.5
2635,252,150
2640,189.5,232.5
2645,191.8,210
2650,206.6,210
2655,174.3,180
2660,168.2,160
2665,193.2,150
2670,189.5,112.5
2675,159.2,150
2680,210.8,140
2685,341,210
2690,173.2,180
2695,221,160
2700,150.3,182.5
2705,203.6,260
2710,360.5,180
2715,290.7,120
2720,231.5,260
2725,148.5,190
2730,196.4,200
2735,141.8,210
2740,210.8,240
2745,123.4,132.5
2750,248.8,202.5
2755,176.6,170
2760,325.7,212.5
2765,336.8,190
2770,209.7,210
2775,295.4,222.5
2780,237.6,230
2785,249.7,210
2790,211.5,190
2795,188.5,192.5
2800,247.3,230
2805,191.6,210
2810,171.9,230
2815,194.9,210
2820,246.2,170
2825,176.7,252.5
2830,204.5,200
2835,146.8,280
2840,278.6,222.5
2845,254.6,160
2850,351,202.5
2855,184.5,140
2860,144.3,140
2865,184.1,220
2870,169.9,260
2875,203.6,170
2880,192.6,210
2885,240.5,210
2890,234.4,240
2895,333.4,160
2900,297.9,300
2905,218.6,262.5
2910,238.8,260
2915,181.4,310
2920,176.1,212.5
2925,162.6,200
2930,167.4,260
2935,215.3,200
2940,185.2,210
2945,157,230
2950,218.8,270
2955,245.9,260
2960,180.1,250
2965,124.7,170
2970,245.5,190
2975,337.6,240
2980,198.7,250
2985,241.5,310
2990,201.1,200
2995,146.1,230
3000,277,250
3005,175,180
3010,260.3,220
3015,222.8,142.5
3020,175.8,222.5
3025,266.6,290
3030,235,132.5
3035,200.2,250
3040,305.6,200
3045,331.4,200
3050,256.1,190
3055,229.8,270
3060,228.2,200
3065,194.1,250
3070,258,212.5
3075,236.4,250
3080,268.5,222.5
3085,314.5,282.5
3090,180.8,180
3095,192.6,260
3100,220.4,170
3105,202.4,270
3110,156.2,200
3115,185.2,220
3120,199.3,330
3125,224,260
3130,311,270
3135,133.8,242.5
3140,207.4,242.5
3145,170,140
3150,122.9,240
3155,246.7,250
3160,197.2,252.5
3165,225.6,272.5
3170,247.8,280
3175,243.9,280
3180,187.4,270
3185,133.3,260
3190,169.9,242.5
3195,304,240
3200,242.5,202.5
3205,330.1,320
3210,170.5,290
3215,110.4,350
3220,167.8,360
3225,208.2,400
3230,247.8,250
3235,307.3,200
3240,137,330
3245,282.5,250
3250,192.3,130
3255,203.1,202.5
3260,246.1,170
3265,196,300
3270,150.6,200
3275,231.6,200
3280,157.6,210
3285,147,282.5
3290,218.8,322.5
3295,187.5,320
3300,175.2,212.5
